Date created,Reporting period start date,Reporting period end date,Jurisdiction,Population
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,MARYLAND,6177935
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Allegany County,67950
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Anne Arundel County,593412
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Baltimore City,583189
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Baltimore County,853338
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Calvert County,92921
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Caroline County,33277
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Carroll County,172910
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Cecil County,103805
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Charles County,166692
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Dorchester County,32523
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Frederick County,272787
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Garrett County,28797
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Harford County,261245
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Howard County,332821
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Kent County,19124
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Montgomery County,1060856
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Prince George's County,965398
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Queen Anne's County,50033
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Somerset County,24567
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,St. Mary's County,114006
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Talbot County,37522
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Washington County,154677
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Wicomico County,103563
2025-05-21T00:00:00.000,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,Worcester County,52522
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,MARYLAND,6179403
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Allegany County,67671
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Anne Arundel County,596354
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Baltimore City,576575
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Baltimore County,850670
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Calvert County,94249
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Caroline County,33443
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Carroll County,174282
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Cecil County,104073
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Charles County,168822
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Dorchester County,32590
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Frederick County,280666
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Garrett County,28766
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Harford County,263348
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Howard County,335370
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Kent County,19249
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Montgomery County,1056087
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Prince George's County,956603
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Queen Anne's County,50921
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Somerset County,24563
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,St. Mary's County,114674
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Talbot County,37792
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Washington County,155117
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Wicomico County,104110
2025-05-21T00:00:00.000,07/01/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Worcester County,53408
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,MARYLAND,6192440
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Allegany County,67241
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Anne Arundel County,598751
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Baltimore City,570663
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Baltimore County,848873
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Calvert County,94652
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Caroline County,33539
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Carroll County,175569
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Cecil County,104939
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Charles County,170376
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Dorchester County,32599
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Frederick County,288316
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Garrett County,28619
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Harford County,263908
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Howard County,336439
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Kent County,19360
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Montgomery County,1061132
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Prince George's County,953609
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Queen Anne's County,51803
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Somerset County,24696
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,St. Mary's County,115001
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Talbot County,37959
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Washington County,155407
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Wicomico County,104985
2025-05-21T00:00:00.000,07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM,Worcester County,54004
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,MARYLAND,6217602
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Allegany County,67296
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Anne Arundel County,599965
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Baltimore City,567517
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Baltimore County,848676
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Calvert County,94828
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Caroline County,33838
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Carroll County,176735
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Cecil County,105676
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Charles County,172268
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Dorchester County,32922
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Frederick County,294154
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Garrett County,28502
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Harford County,264771
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Howard County,337341
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Kent County,19441
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Montgomery County,1069397
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Prince George's County,956533
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Queen Anne's County,52682
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Somerset County,25044
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,St. Mary's County,115479
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Talbot County,38067
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Washington County,156116
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Wicomico County,105585
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Worcester County,54229
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,MARYLAND,6263220
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Allegany County,67097
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Anne Arundel County,602350
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Baltimore City,568271
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Baltimore County,852425
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Calvert County,94913
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Caroline County,34248
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Carroll County,177108
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Cecil County,106305
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Charles County,174478
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Dorchester County,33138
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Frederick County,299317
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Garrett County,28393
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Harford County,265514
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Howard County,339668
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Kent County,19557
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Montgomery County,1082273
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Prince George's County,966629
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Queen Anne's County,53688
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Somerset County,25241
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,St. Mary's County,116469
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Talbot County,38244
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Washington County,157228
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Wicomico County,106329
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Worcester County,54337
